,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
312,0.08893962,0.41893154,0.17392789,0.06447996,-0.0046393536,-0.04332947,0.9370554,0.7565287,0.17940657,0.18288593,-0.6626251,0.20295882,0.14147314,0.51494217,0.25125733,0.20676665,0.52738184,-0.03518816,-0.1888489,0.07646223,1.1194289,-0.091444306,0.22958128,0.23262422,-0.13405901,-0.25866568,0.520145,-0.6955433,0.5702665,-0.008344613,-0.11032029,0.26641968,-0.51502025,0.7599179,-0.21296875,-0.13935652,-0.1139941,0.025402278,0.1029189,0.82187766,0.1042345,0.94458324,0.100123785,-0.3212343,0.44941482,0.071692355,0.34749928,-0.04578507,-0.29921773,0.22837484
326,-0.009862658,-0.12779433,-0.041254174,0.002916988,-0.0035573244,0.02113796,-0.5029299,-0.2471258,-0.06922353,-0.01190393,0.21306436,-0.06879635,0.23373353,-0.13971956,-0.07334584,-0.02097436,-0.14661436,-0.03313746,0.047925632,0.008796447,-0.33287054,0.047946073,-0.049990423,-0.06817672,0.04310041,0.06970164,-0.17133081,0.23654719,-0.15121128,0.020796686,0.07828664,-0.05705523,0.18099622,-0.16620496,0.06849779,0.039511144,0.02732236,0.0011921972,-0.057145778,-0.27355775,-0.014738716,-0.29768875,-0.015136354,0.10112895,-0.111915,-0.04367066,-0.0788887,0.063000135,0.051494934,-0.042029195
444,-0.012783572,-0.17035708,-0.043365844,-0.007920887,0.0043127984,-0.003960925,-0.6956207,-0.27146623,-0.049904294,-0.02551822,0.25043783,-0.08289665,0.828756,-0.18636197,-0.12587722,-0.01777798,-0.19563346,-0.06461667,0.06366594,-0.015721016,-0.41748685,0.0581922,-0.07756362,-0.059986915,0.06847019,0.05338928,-0.17757976,0.25027937,-0.17494638,0.059981965,0.10131665,-0.08371319,0.20575304,-0.19907837,0.06800293,0.07008175,0.0243202,-0.009629644,-0.054888036,-0.35443974,-0.033842064,-0.34017006,-0.004713401,0.1345706,-0.14971969,-0.05927851,-0.07676196,0.078067586,0.06691502,-0.07172229
272,-0.07265462,-0.28132972,-0.0905022,-0.07218461,-0.02055931,0.06507333,-1.416194,-0.45797268,-0.22143199,-0.0094722025,0.3793332,-0.22142193,-0.7246711,-0.24533522,-0.14914684,-0.096636355,-0.2718741,0.025753757,0.16083379,-0.0050586974,-0.6131956,0.023634754,-0.11300044,-0.19914432,-0.0017015263,0.19527206,-0.290333,0.5526414,-0.4817359,-0.084488474,0.07570795,-0.07763828,0.31485367,-0.58847636,0.10293311,-0.024270065,0.08090384,0.080864765,-0.0728255,-0.5444652,-0.12415792,-0.68112767,-0.07437788,0.25433546,-0.23359743,-0.017018221,-0.20542522,0.04848119,0.07715662,-0.02853521
216,-0.2696252,-0.36577967,-0.12135105,-0.16454504,0.07524255,-0.12545459,-2.6168468,-0.7993675,-0.21933089,-0.24967897,0.7190727,-0.35811123,2.3703346,-0.6011433,-0.42555466,-0.13889751,-0.47072315,0.057685986,0.19206934,-0.025349803,-1.0445077,0.1359548,-0.012472345,-0.17943856,0.036730744,0.2696994,-0.42556286,0.8437412,-0.790518,0.020326309,0.055465765,-0.22173712,0.5535607,-1.0892407,0.16473025,0.14838153,0.16466483,0.015481181,-0.119407654,-1.1276711,-0.2701583,-0.85547984,-0.23982817,0.52837753,-0.31625876,-0.13216189,-0.34133434,0.08175264,0.24744007,-0.21431395
318,0.022654884,0.018815465,0.026531175,0.011070646,0.009054154,0.031186558,-1.2676725,0.026780773,0.031339392,0.070231915,-0.04397734,0.0023799054,-0.41175354,0.029347964,0.030102167,0.035158657,0.01936364,-0.06917407,0.008388337,0.04937605,0.021928178,-0.008375205,0.01202663,0.019853767,-0.007491298,-0.030415282,0.034366332,-0.07222503,0.06082915,0.012843296,0.06267511,0.040388625,-0.030281413,0.12957753,0.015492585,-0.031622797,-0.03287086,0.0024622157,-0.0058810525,-0.008247044,0.019640155,-0.013210319,0.042958178,-0.07451798,0.023339368,-0.033965565,0.049207527,0.018017389,-0.022106674,0.066552006
276,0.032232687,0.17566586,0.089065924,0.062887624,-0.0288907,-0.0024583722,0.22502296,0.15519871,0.080323495,0.0014010556,-0.16218816,0.031087305,-1.5780351,0.15501279,0.05637527,0.04057361,0.122360915,0.027822264,-0.039357517,0.055887908,0.21716323,-0.012081012,0.040260367,-0.029698748,-0.027185433,-0.0466969,0.07835624,-0.2335301,0.124194264,0.042855807,-0.028334208,0.106909916,-0.13805844,0.2069153,-0.084122464,-0.008103915,0.00827124,-0.002430044,0.036533296,0.26298627,0.07364056,0.29456484,-0.0026319847,-0.12366061,0.11281523,0.03953465,0.049821768,0.010448597,-0.05211156,0.0551314
16,-0.08934027,-0.2656939,-0.08356624,-0.044601675,0.022762328,-0.0066401223,-1.381206,-0.4174954,-0.1253873,-0.07287958,0.40412384,-0.19657359,0.5841797,-0.299538,-0.21701498,-0.056031376,-0.26969394,-0.042085994,0.10840882,-0.030493245,-0.60661834,0.073350586,-0.0885327,-0.08751683,0.048623472,0.1016251,-0.25846982,0.4755452,-0.35858423,0.011433721,0.07223465,-0.106024355,0.2913942,-0.508317,0.090164945,0.09048729,0.06462969,0.031561702,-0.0612145,-0.5591536,-0.102791026,-0.5348138,-0.03161951,0.23880751,-0.2099798,-0.059372403,-0.14097637,0.07561988,0.083973095,-0.09714436
313,-0.053313434,-0.14519122,-0.04130349,-0.052821487,0.029416926,-0.07466999,1.9099882,-0.19374865,-0.01040723,-0.031377096,0.06411663,-0.1003024,-1.3978467,-0.21760908,-0.08480139,0.010766991,-0.16775453,-0.026469387,0.05628024,-0.007978967,-0.20032454,0.027801268,-0.045059927,0.024330538,0.025263213,0.04628535,-0.0703775,0.12152152,-0.09164591,-0.0048434436,0.0023677722,-0.14207911,0.1069783,-0.16238429,0.07110703,0.058240302,-0.01955662,0.014662154,-0.034306493,-0.217634,-0.09387744,-0.18172622,0.032068722,0.10609481,-0.16750401,-0.07198502,-0.06640111,0.012408175,0.052238632,-0.040026866
51,-0.07560501,-0.16126308,-0.0100764185,0.000325799,0.046690986,-0.051856197,0.13051198,-0.10534769,-0.0013082232,-0.02762254,0.053839523,-0.08476472,-1.9536371,-0.15575343,-0.091467775,-0.021865875,-0.10628174,-0.03296738,0.029360343,0.04164765,-0.12720104,0.03265523,0.02587401,0.010969397,-0.040659837,0.050400916,-0.046167605,0.12116635,-0.11359416,-0.045489926,-0.0343227,-0.0670705,0.09259762,-0.24140978,0.027419694,0.023694329,-0.004768938,0.035297252,-0.037020925,-0.1944217,-0.08587481,-0.15965089,0.030707479,0.084445745,-0.08444258,-0.0030763,-2.9210001e-05,0.012173064,0.012986982,0.011305012
